,username,isGazp,isMgnt,isSber,isYndx,threadNum,GazpPos,MgntPos,SberPos,YndxPos
0,Nordstream,1,1,0,1,3,1,1,,1
1,khornickjaadle,1,0,1,1,3,1,0,1
2,stanislava,1,1,0,1,3,1,1,,1
3,Абросимов Павел,1,1,0,1,3,1,1,,0
4,Вася Баффет,1,1,0,1,3,0,1,,0
5,Дмитрий Первый,1,1,1,0,3,0,0,0,
6,Дмитрий Шабалов,1,1,1,0,3,0,0,1,
7,Карим Тактуров,1,1,1,1,4,1,1,0,1
8,Сергей Пирогов,1,1,0,1,3,0,1,,0
9,Созерцатель,1,1,1,0,3,0,0,0,
10,Тимофей Мартынов,1,1,1,1,4,0,1,1,1
11,✔  ⓈⒺⓇⒼⒾⓄ:Ⓩ,1,1,0,1,3,0,0,0,1
